image_ids,grapheme_root,vowel_diacritics,consonant_diacritics
কোচবিহার_017,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_018,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_019,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_020,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_021,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_022,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_023,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_024,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_025,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_026,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_027,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_028,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_029,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_030,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_031,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_032,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_033,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_034,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_035,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_036,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_037,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_038,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_039,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_040,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_041,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_042,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_043,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_044,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_045,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_046,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_047,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_048,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_049,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_050,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_051,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_052,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_053,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_054,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_055,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_056,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_057,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_058,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_059,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_060,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_061,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_062,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_063,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_064,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_065,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_066,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_067,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_068,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_069,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_070,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_071,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_072,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_073,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_074,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_075,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_076,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_077,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_078,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_079,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_080,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_081,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_082,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_083,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_084,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_085,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_086,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_087,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_088,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_089,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_090,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_091,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_092,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_093,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_094,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_095,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_096,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_097,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_098,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_099,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
কোচবিহার_100,"[23, 48, 117, 169, 133]","[9, 0, 2, 1, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_001,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_002,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_003,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_004,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_005,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_006,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_007,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_008,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_009,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_010,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_011,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_012,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_013,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_014,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_015,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_016,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_017,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_018,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_019,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_020,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_021,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_022,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_023,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_024,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_025,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_026,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_027,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_028,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_029,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_030,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_031,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_032,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_033,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_034,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_035,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_036,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_037,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_038,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_039,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_040,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_041,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_042,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_043,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_044,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_045,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_046,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_047,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_048,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_049,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_050,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_051,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_052,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_053,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_054,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_055,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_056,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_057,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_058,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_059,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_060,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_061,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_062,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_063,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_064,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_065,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_066,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_067,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_068,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_069,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_070,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_071,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_072,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_073,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_074,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_075,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_076,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_077,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_078,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_079,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_080,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_081,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_082,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_083,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_084,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_085,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_086,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_087,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_088,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_089,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_090,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_091,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_092,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_093,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_094,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_095,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_096,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_097,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_098,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_099,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
খড়গপুর_100,"[32, 175, 33, 106, 133]","[0, 0, 0, 4, 0]","[0, 0, 0, 0, 0]"
চন্দননগর_001,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_002,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_003,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_004,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_005,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_006,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_007,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_008,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_009,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_010,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_011,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_012,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_013,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_014,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_015,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_016,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_017,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_018,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_019,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_020,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_021,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_022,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_023,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_024,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_025,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_026,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_027,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_028,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_029,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_030,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_031,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_032,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_033,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_034,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_035,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_036,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_037,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_038,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_039,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_040,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_041,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
চন্দননগর_042,"[48, 99, 91, 91, 33, 133]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
